Layer-by-layer test accuracy summary
================================================================================


underinformative_vs_true
----------------------------------------
Layer  Test_Acc  Train_Acc  CV_Mean  CV_Std
    0     0.667      0.714    0.708   0.042
    1     0.667      0.714    0.708   0.042
    2     0.667      0.714    0.708   0.042
    3     0.667      0.714    0.708   0.042
    4     0.667      0.714    0.708   0.042
    5     0.667      0.714    0.708   0.042
    6     0.500      0.786    0.708   0.042
    7     0.500      0.857    0.646   0.091
    8     0.500      0.929    0.646   0.091
    9     0.500      1.000    0.562   0.160
   10     0.667      1.000    0.562   0.160
   11     0.500      1.000    0.500   0.118

underinformative_vs_false
----------------------------------------
Layer  Test_Acc  Train_Acc  CV_Mean  CV_Std
    0     0.667      0.714    0.708   0.042
    1     0.667      0.714    0.708   0.042
    2     0.667      0.714    0.708   0.042
    3     0.667      0.714    0.708   0.042
    4     0.667      0.714    0.708   0.042
    5     0.667      0.714    0.708   0.042
    6     0.667      0.786    0.646   0.091
    7     0.667      0.929    0.646   0.091
    8     0.667      1.000    0.646   0.091
    9     0.667      1.000    0.583   0.083
   10     0.500      1.000    0.583   0.083
   11     0.500      1.000    0.583   0.083

true_vs_false
----------------------------------------
Layer  Test_Acc  Train_Acc  CV_Mean  CV_Std
    0     0.250      0.750    0.750   0.250
    1     0.250      0.750    0.625   0.217
    2     0.250      0.750    0.625   0.217
    3     0.250      0.750    0.750   0.250
    4     0.250      0.750    0.750   0.250
    5     0.250      0.750    0.625   0.217
    6     0.250      1.000    0.625   0.217
    7     0.250      1.000    0.500   0.000
    8     0.500      1.000    0.625   0.217
    9     0.250      1.000    0.625   0.217
   10     0.250      1.000    0.625   0.217
   11     0.500      1.000    0.500   0.000
